Season,Week,Game_Type,Team,Points_Scored,Points_Allowed,Location,Outcome,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards,fantasy_points,fantasy_points_ppr
2025,1,REG,DET,13.0,27.0,Away,Loss,5266,394,582,4567,35,8,39,-264,3,3,3732,2422,224,103.36001665264264,-7.734166097056899,0,23.73356851869062,185,101,66,8,442,2041,21,7,4,105,-23.515552161037625,1,44,32,14,7,394,550,4567,35,1,0,3673,2422,224,201.03470354321308,0,185,100,65,8,176.325400622936,17.0,16.837853730146687,37.28649761110268,1,626,10,468,67,360,15,48.0,328.0,102,13,132,93,0,0,1,0,0,0,0,0,0,3,-32,6,5,0,107,734,7,4,1,11,7,35,291,66,1756,27,34,5,2,707.0,13.216666666666669,0,6,8,9,4,0,0,0,0,1,3,1,1066,272,97,54,56,1,1,15.75,1,1,0,0,42,56,0,894.0,2611,28,2,4,2,26,22,173,0,2398,1297.48,1691.48
2025,1,REG,GB,27.0,13.0,Home,Win,5424,328,489,3845,26,7,29,-228,3,2,4283,1665,180,118.79636839653992,124.2019067534152,2,29.280044106604464,142,90,58,9,492,2037,18,9,4,124,-15.250886578749302,0,57,38,6,1,328,460,3845,26,3,0,4088,1665,180,184.501743269468,2,142,90,58,9,207.5250853770261,17.0,16.30826761941348,36.91578733358944,0,608,22,568,72,277,8,36.0,216.0,106,7,0,59,0,1,0,0,0,0,0,0,37,10,-10,7,29,0,135,977,11,8,3,19,6,26,146,60,1509,28,34,5,1,581.0,12.333333333333332,0,10,10,4,3,1,0,0,0,3,1,1,1001,256,43,39,42,2,1,15.133333333333333,0,0,0,0,0,49,0,836.0,2533,18,5,3,8,12,21,222,0,2151,1092.0,1420.0
2025,1,REG,HOU,9.0,14.0,Away,Loss,5735,364,582,3956,24,9,31,-249,0,0,4765,1634,184,30.905947802315904,-62.040950022219214,1,17.889901119966567,148,78,48,11,475,1852,9,4,0,99,-44.93582433584686,0,43,29,8,1,364,553,3956,24,3,2,4595,1634,184,99.74850912576684,1,148,78,48,11,119.61456981119814,17.0,16.351527012534437,36.94606890877411,0,579,21,477,92,483,14,47.0,366.0,95,19,126,90,1,0,0,1,0,2,0,0,1,4,-15,10,64,4,126,1029,5,3,1,8,3,34,360,54,1407,48,52,3,1,753.0,15.8,0,9,12,18,9,0,0,0,0,0,3,0,1895,157,52,30,30,0,0,15.0,1,1,0,0,35,72,0,975.0,3424,30,10,10,5,14,33,326,1,2998,1015.04,1379.04
2025,1,REG,IND,33.0,8.0,Home,Win,5518,360,547,4085,25,14,29,-212,8,4,4380,1802,199,47.66947836835752,-100.3629247891422,1,19.45555107291169,161,88,44,9,442,2007,27,5,1,122,33.99101845990116,1,48,35,10,4,360,530,4085,25,2,1,4275,1802,199,105.67093737042345,1,161,88,44,9,108.22733738938145,17.0,16.642200215317487,37.14954015072224,0,682,18,498,85,355,10,39.0,247.0,98,14,107,79,1,1,0,1,0,1,0,0,0,10,-7,7,11,0,92,807,13,7,2,20,9,22,201,67,1927,34,36,2,0,706.0,15.333333333333334,0,8,12,7,6,1,0,0,0,0,2,0,1314,104,0,42,45,3,0,15.75,1,1,0,0,45,44,0,793.0,2146,22,4,3,3,15,19,120,0,1966,1150.6,1510.6
2025,1,REG,JAX,26.0,10.0,Home,Win,5730,344,563,4026,29,12,41,-247,3,2,4880,1646,196,41.30948758743023,31.09364031365805,0,17.07674127661695,167,88,57,6,489,1956,22,4,3,124,-7.212188974471178,1,48,28,9,3,344,547,4026,29,3,1,4879,1646,196,110.3755996984092,0,167,88,57,6,133.91324009734728,17.0,17.011095608318357,37.40776692582285,2,567,21,497,77,298,11,32.0,226.0,95,22,312,107,2,2,1,0,0,0,0,0,0,6,0,9,2,0,123,1056,9,5,2,14,6,26,356,58,1591,30,34,4,0,690.0,13.166666666666666,0,5,9,8,6,2,0,0,0,2,2,0,1249,194,0,50,51,1,0,16.0,1,1,0,0,52,60,0,912.0,2878,22,13,5,6,9,27,178,0,2580,1159.24,1503.24
2025,1,REG,KC,21.0,27.0,Away,Loss,5502,363,584,3947,23,12,47,-308,5,1,4533,2110,189,24.883655681429083,-55.896957909431165,2,17.773452814842766,160,76,52,9,430,1812,15,5,2,122,8.470350136755696,0,44,23,3,0,363,549,3947,23,3,0,4298,2110,189,109.25092200330968,2,160,76,52,9,135.0026807826608,17.0,15.992541159124947,36.694778811387465,0,608,18,510,74,234,8,33.0,155.0,103,10,64,60,0,2,0,0,1,0,0,0,0,13,11,4,1,0,112,912,12,5,1,17,3,32,259,66,1727,33,38,5,0,640.0,12.25,1,9,9,9,5,0,0,0,0,2,3,0,1243,248,0,31,35,3,1,11.75,1,1,0,0,27,56,0,920.0,2664,25,5,8,3,16,24,291,0,2313,1031.78,1394.78
2025,1,REG,LA,14.0,9.0,Home,Win,5528,388,598,4707,46,8,23,-150,2,2,5528,1850,236,150.45430748211436,28.47228953024497,0,15.133710238205357,184,99,72,8,465,2152,17,5,3,126,-4.054726308704334,0,53,38,12,2,388,581,4707,46,2,2,5396,1850,236,198.64957366533795,0,184,99,72,8,189.69069578185744,17.0,16.670474059588134,37.169331841711696,1,622,27,477,66,341,12,47.0,304.0,117,16,240,82,1,0,0,0,1,1,0,0,76,4,-30,9,33,0,81,603,6,5,0,11,7,28,259,59,1479,22,28,4,2,438.0,9.416666666666666,0,6,6,8,2,0,0,1,1,1,1,0,805,166,80,62,65,1,2,16.216666666666665,0,0,0,0,0,50,0,902.0,2315,20,10,5,4,10,21,336,1,1899,1412.18,1800.18
2025,1,REG,LAC,27.0,21.0,Home,Win,5415,367,569,3953,26,14,60,-345,4,2,4546,1762,185,-23.35207905811383,41.75214650567536,0,20.39175107358436,151,71,45,8,466,2067,10,5,1,117,-6.312613866059048,1,51,36,14,3,367,544,3953,26,6,2,4407,1762,185,84.81846393936827,0,151,71,45,8,69.62298996817931,17.0,16.608074974757354,37.12565248233015,0,596,18,432,90,347,10,45.0,256.0,91,19,127,84,0,1,1,0,0,0,0,0,0,8,-5,4,11,0,96,747,13,4,2,17,7,21,136,66,1633,38,41,3,0,751.0,16.0,0,7,14,12,5,0,0,0,1,1,1,0,1465,136,0,34,35,1,0,14.5,2,2,0,0,76,60,0,891.0,2871,23,5,7,4,23,21,305,1,2486,1044.12,1411.12
2025,1,REG,LV,20.0,13.0,Away,Win,5525,340,515,3315,20,19,64,-464,3,1,3208,1806,161,-107.57279016847852,-72.84681344825765,1,31.67837571743661,128,59,37,3,369,1317,5,3,2,67,-96.84002493454122,0,31,20,5,2,340,494,3315,20,2,0,3199,1806,161,18.74553884094692,1,128,59,37,3,85.28487644666131,17.0,17.045302445068813,37.43171171154817,0,657,25,513,105,374,10,36.0,212.0,82,8,63,52,0,1,1,0,0,0,0,0,0,6,-4,8,3,0,111,918,7,5,2,12,4,29,173,68,1845,22,27,4,1,516.0,10.333333333333332,0,5,6,6,4,1,0,0,0,2,2,0,869,211,54,21,22,1,0,11.666666666666666,1,2,0,1,114,72,2,932.0,3409,24,18,4,4,13,33,400,2,2929,785.8000000000001,1125.8
2025,1,REG,MIA,8.0,33.0,Away,Loss,5402,322,479,3322,23,18,38,-254,2,1,3362,1807,174,4.929832002705847,-10.9718745071962,1,18.96224164497763,139,72,43,6,432,2044,14,11,2,104,-12.38100421488462,0,55,43,16,4,322,462,3322,23,3,2,3300,1807,174,66.50963335442844,1,138,72,43,6,61.09615357725047,17.0,16.728849774377718,37.2101948420644,1,629,26,526,74,302,11,39.0,242.0,79,9,102,53,0,0,1,0,0,2,1,1,10,12,-20,11,19,0,115,890,10,9,1,19,6,21,279,65,1716,27,29,2,0,629.0,13.333333333333332,0,5,8,11,3,0,0,0,1,0,1,0,1072,92,0,34,35,1,0,12.75,1,1,0,0,29,63,0,930.0,3005,21,5,11,3,19,25,259,1,2686,947.48,1269.48
